Price,Brand,Model,Power,Efficiency,Link
90.66,Corsair,CP-9020216-NA,550,80+ Bronze,https://amazon.com/dp/B08FVHGKDY?tag=pcbuilder00-20
149.99,Corsair,CX,550,80+ Bronze,https://amazon.com/dp/B01B72W0A2?tag=pcbuilder00-20
216.59,Corsair,TX550M,550,80+ Bronze,https://amazon.com/dp/B005E98J28?tag=pcbuilder00-20
191.6,Corsair,CX600,600,80+ Bronze,https://amazon.com/dp/B0092ML0OC?tag=pcbuilder00-20
78.95,Corsair,CX650M,650,80+ Bronze,https://amazon.com/dp/B093NTQJSF?tag=pcbuilder00-20
103.43,Corsair,CP-9020226-NA,650,80+ Bronze,https://amazon.com/dp/B08FVJ4XRK?tag=pcbuilder00-20
105.91,Corsair,CV,650,80+ Bronze,https://amazon.com/dp/B0838YDBP3?tag=pcbuilder00-20
169.99,Corsair,CX (2017),650,80+ Bronze,https://amazon.com/dp/B01MRW2K7E?tag=pcbuilder00-20
299.99,Corsair,CP-9020039-NA,650,80+ Bronze,https://amazon.com/dp/B005E98I0G?tag=pcbuilder00-20
299.99,Corsair,CP-9020064-NA,700,80+ Bronze,https://amazon.com/dp/B00ALSNDS2?tag=pcbuilder00-20
93.99,Corsair,CP-9020222-NA,750,80+ Bronze,https://amazon.com/dp/B093ND8LML?tag=pcbuilder00-20
98.37,Corsair,CX750F,750,80+ Bronze,https://amazon.com/dp/B08FVCD21D?tag=pcbuilder00-20
109.99,Corsair,CX750F,750,80+ Bronze,https://amazon.com/dp/B08FVJ7MGK?tag=pcbuilder00-20
109.99,Corsair,CX750M V2,750,80+ Bronze,https://amazon.com/dp/B078M6D5CJ?tag=pcbuilder00-20
169.99,Corsair,CXM,750,80+ Bronze,https://amazon.com/dp/B00ALK3KEM?tag=pcbuilder00-20
195.29,Corsair,CX (2017),750,80+ Bronze,https://amazon.com/dp/B01N9KIFWF?tag=pcbuilder00-20
207.35,Corsair,CX 750,750,80+ Bronze,https://amazon.com/dp/B008RJZQSW?tag=pcbuilder00-20
384.98,Corsair,TX750,750,80+ Bronze,https://amazon.com/dp/B004MYFODI?tag=pcbuilder00-20
499.99,Corsair,CP-9020003-NA,750,80+ Bronze,https://amazon.com/dp/B005E98FVS?tag=pcbuilder00-20
499.99,Corsair,CP-9020004-NA,850,80+ Bronze,https://amazon.com/dp/B005E98EI2?tag=pcbuilder00-20
599.99,Corsair,TX850,850,80+ Bronze,https://amazon.com/dp/B004MYFODS?tag=pcbuilder00-20
114.99,Corsair,SF450,450,80+ Gold,https://amazon.com/dp/B01CGGOXWQ?tag=pcbuilder00-20
77.1,Corsair,CP-9020220-NA,550,80+ Gold,https://amazon.com/dp/B093NVY3TY?tag=pcbuilder00-20
112.16,Corsair,RMx (2018),550,80+ Gold,https://amazon.com/dp/B079HGL413?tag=pcbuilder00-20
113.65,Corsair,TXM,550,80+ Gold,https://amazon.com/dp/B01MSEYY23?tag=pcbuilder00-20
195.99,Corsair,RM550x,550,80+ Gold,https://amazon.com/dp/B015YEICJ2?tag=pcbuilder00-20
299.99,Corsair,CP-9020053-NA,550,80+ Gold,https://amazon.com/dp/B00EB7UIO6?tag=pcbuilder00-20
119.99,Corsair,SF,600,80+ Gold,https://amazon.com/dp/B01CGI5M24?tag=pcbuilder00-20
79.99,Corsair,RM650,650,80+ Gold,https://amazon.com/dp/B093NGBKKD?tag=pcbuilder00-20
124.99,Corsair,CP-9020198-NA,650,80+ Gold,https://amazon.com/dp/B08R5Q1W7R?tag=pcbuilder00-20
148,Corsair,TXM,650,80+ Gold,https://amazon.com/dp/B01N18J52E?tag=pcbuilder00-20
196.56,Corsair,RM650x,650,80+ Gold,https://amazon.com/dp/B015YEIBJ8?tag=pcbuilder00-20
219.99,Corsair,RMx (2018),650,80+ Gold,https://amazon.com/dp/B079H6111J?tag=pcbuilder00-20
224.4,Corsair,RM650x,650,80+ Gold,https://amazon.com/dp/B00EB7UIRS?tag=pcbuilder00-20
250,Corsair,CP-9020006-NA,650,80+ Gold,https://amazon.com/dp/B00539M628?tag=pcbuilder00-20
83.99,Corsair,RM750,750,80+ Gold,https://amazon.com/dp/B093R3HVCK?tag=pcbuilder00-20
109.99,Corsair,RM750x,750,80+ Gold,https://amazon.com/dp/B08R5W27JS?tag=pcbuilder00-20
129.99,Corsair,CP-9020251-NA,750,80+ Gold,https://amazon.com/dp/B0C61XRJBG?tag=pcbuilder00-20
134,Corsair,RMx (2018),750,80+ Gold,https://amazon.com/dp/B079HGN5QS?tag=pcbuilder00-20
144.99,Corsair,RMX,750,80+ Gold,https://amazon.com/dp/B07JHRLXWG?tag=pcbuilder00-20
